fname,data,method,Shd1,2,3,4,5,6,Sid1,2,3,4,5,6,F1,2,3,4,5,6,Mod1,2,3,4,5,6,Total_models,vars,Time,,,,,
./data/mech_data/experiment1,poly,Continent,2,2,1,1,2,2,3,3,1,1,2,2,0.67,0.67,0.86,0.86,0.75,0.75,2,2,2,2,2,4,9,5,2024-02-06 18:59:22.547329,,,,,
./data/mech_data/experiment2,poly,Continent,0,0,5,6,3,2,0,0,4,8,2,1,1,1,0.55,0.36,0.6,0.75,2,2,2,2,2,7,9,5,2024-02-06 19:07:54.330724,,SHD,SID,F1,Mods
./data/mech_data/experiment3,poly,Continent,5,5,2,2,2,2,12,12,2,2,1,1,0.5,0.5,0.8,0.8,0.75,0.75,2,2,2,2,2,6,9,5,2024-02-06 19:14:42.408406,5,0.2,0.15,0.74,6.3
./data/mech_data/experiment4,poly,Continent,6,6,2,2,0,0,9,9,3,3,0,0,0.5,0.5,0.8,0.8,1,1,2,2,2,2,2,6,9,5,2024-02-06 19:21:39.165783,10,0.26,0.38,0.64,7.92
./data/mech_data/experiment5,poly,Continent,3,3,4,0,0,0,10,10,10,0,0,0,0.33,0.33,0.29,1,1,1,2,2,2,2,2,4,9,5,2024-02-06 19:26:36.878509,15,,,,
./data/mech_data/experiment6,poly,Continent,0,0,2,2,2,2,0,0,4,4,4,4,1,1,0.86,0.86,0.83,0.83,2,2,2,2,2,6,9,5,2024-02-06 19:33:19.429182,,,,,
./data/mech_data/experiment7,poly,Continent,0,2,4,4,4,3,0,4,2,2,5,5,1,0.67,0.5,0.5,0.75,0.8,2,2,2,2,2,5,9,5,2024-02-06 19:41:33.961197,,,,,
./data/mech_data/experiment8,poly,Continent,2,2,2,2,0,0,3,3,1,1,0,0,0.5,0.5,0.75,0.75,1,1,2,2,2,2,2,6,9,5,2024-02-06 19:47:27.204789,,,,,
./data/mech_data/experiment9,poly,Continent,0,0,3,3,1,1,0,0,4,4,1,1,1,1,0.5,0.5,0.91,0.91,2,2,2,2,2,9,9,5,2024-02-06 19:54:19.940556,,,,,
./data/mech_data/experiment10,poly,Continent,3,5,1,1,5,5,2,2,2,2,13,13,0.73,0.62,0.86,0.86,0.5,0.5,2,2,2,2,2,6,9,5,2024-02-06 20:05:20.178135,,,,,
